date,dropItemId,wallet,assetAddress,signature,status
2026-08-11T15:33:45.719Z,TEST-001,4hGRvfHbhAjkn46ATggGHgefsHGKeCi4jxcL6BcDpDU7,GbP7zuCst4pvP7Wi7MNqKH9Hae8KXAXhookZstR8NZHW,3FcYWHLQxPo72wqaWTmorGiJXDknhL1AmyMF5utVwg8NhqTxD2o1WrNRbFDYyDkF9JZihdrKmj1nhEb6C8BswxrT,success
2026-08-11T16:14:55.504Z,TEST-001,FDLfcGUGT9ZTNo6eQminuprHkJLTSWhCo95RmDDmXSDR,62FPZVzWXprvxDPyy5S5AiSA83UgbZoqNrakRH29AowK,3AsyHfi461LTXPPBbekmJAANMvjMQi1753X7nnZNv7ouozf3Aaj5xjkCqZsrby5dU6pGvC4N9mXoi25qmJEx8Mde,success
2026-09-03T06:10:55.423Z,TEST-001,7XJJvj5N4aBMNyX9g5NZqSEzi9vY6vYxWydezMZvC4n9,Fth3h6SMeun3XDMQhc8FoSixFNtmfeAcLw4qmdA4LuUf,5wCokZgz5JfeAxofxtgcqhw9LpupBqqVarX46TLaR8CK6oUr47gkXC39edCBvXQR49Cvric6bqbTbo56LF7CS6TN,success
